island,site,date,lizard_id,blattodea,coleoptera,diptera,embioptera,hemiptera,hymenoptera,isoptera,lepidoptera,neuroptera,odonata,orthoptera,psocoptera,raphidioptera,thysanura,insect_egg,spider_egg,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,neuroptera_larvae,odonata_larvae,acari,araneae,chilopoda,diplopoda,isopoda,pseudoscorpiones,gastropoda,sea_shell,berry,flower_parts,juniper_berry,leaf,seed,seed_pod,stick,lizard,sand,salt,comments
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-17,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mealworm
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mealworm
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-32,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-24,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fidoussa,FIDOUSSA,17-Jun-14,FID-613-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mealworm
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Irakleia,IRAKLEIA,17-Jun-14,IRA-614-06,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
