site,date,lizard_id,comments,order,count
SMONI,07-Nov-14,SMONI-522-37,NA,isopoda,1
VIGLA,07-Nov-14,VIGLA-517-14,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-14,NA,orthoptera,1
VIGLA,07-Nov-14,VIGLA-517-14,NA,gastropoda,1
VIGLA,07-Nov-14,VIGLA-517-20,NA,hemiptera,22
VIGLA,07-Nov-14,VIGLA-517-20,NA,hymenoptera,1
VIGLA,07-Nov-14,VIGLA-517-20,NA,coleoptera_larvae,2
VIGLA,07-Nov-14,VIGLA-517-20,NA,gastropoda,1
VIGLA,07-Nov-14,VIGLA-517-03,NA,coleoptera,2
VIGLA,07-Nov-14,VIGLA-517-03,NA,lepidoptera_larvae,2
VIGLA,07-Nov-14,VIGLA-517-03,NA,araneae,1
VIGLA,07-Nov-14,VIGLA-517-01,NA,hymenoptera,1
VIGLA,07-Nov-14,VIGLA-517-02,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-02,NA,hymenoptera,1
VIGLA,07-Nov-14,VIGLA-517-10,NA,coleoptera,1
VIGLA,07-Nov-14,VIGLA-517-10,NA,acari,1
VIGLA,07-Nov-14,VIGLA-517-23,NA,coleoptera,1
VIGLA,07-Nov-14,VIGLA-517-23,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-23,NA,lepidoptera,1
VIGLA,07-Nov-14,VIGLA-517-23,NA,araneae,1
VIGLA,07-Nov-14,VIGLA-517-15,NA,coleoptera,1
VIGLA,07-Nov-14,VIGLA-517-15,NA,hemiptera,7
VIGLA,07-Nov-14,VIGLA-517-15,NA,hymenoptera,1
VIGLA,07-Nov-14,VIGLA-517-15,NA,insect_egg,1
VIGLA,07-Nov-14,VIGLA-517-19,NA,diptera,1
VIGLA,07-Nov-14,VIGLA-517-19,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-19,NA,lepidoptera_larvae,1
VIGLA,07-Nov-14,VIGLA-517-19,NA,gastropoda,1
VIGLA,07-Nov-14,VIGLA-517-06,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-06,NA,hymenoptera,4
VIGLA,07-Nov-14,VIGLA-517-16,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-16,NA,hymenoptera,1
VIGLA,07-Nov-14,VIGLA-517-16,NA,araneae,1
VIGLA,07-Nov-14,VIGLA-517-22,NA,coleoptera,1
VIGLA,07-Nov-14,VIGLA-517-22,NA,hemiptera,48
VIGLA,07-Nov-14,VIGLA-517-22,NA,coleoptera_larvae,2
VIGLA,07-Nov-14,VIGLA-517-22,NA,gastropoda,1
VIGLA,07-Nov-14,VIGLA-517-21,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-21,NA,hymenoptera,1
VIGLA,07-Nov-14,VIGLA-517-21,NA,coleoptera_larvae,2
VIGLA,07-Nov-14,VIGLA-517-21,NA,araneae,2
VIGLA,07-Nov-14,VIGLA-517-17,NA,coleoptera,1
VIGLA,07-Nov-14,VIGLA-517-17,NA,hemiptera,2
VIGLA,07-Nov-14,VIGLA-517-17,NA,hymenoptera,3
VIGLA,07-Nov-14,VIGLA-517-17,NA,gastropoda,1
VIGLA,07-Nov-14,VIGLA-517-12,NA,hemiptera,2
VIGLA,07-Nov-14,VIGLA-517-25,NA,coleoptera,2
VIGLA,07-Nov-14,VIGLA-517-25,NA,hemiptera,1
VIGLA,07-Nov-14,VIGLA-517-25,NA,gastropoda,1
VIGLA,07-Nov-14,VIGLA-517-18,NA,coleoptera,1
VIGLA,07-Nov-14,VIGLA-517-18,NA,hemiptera,22
VIGLA,07-Nov-14,VIGLA-517-18,NA,hymenoptera,3
VIGLA,07-Nov-14,VIGLA-517-18,NA,lepidoptera,1
VIGLA,07-Nov-14,VIGLA-517-18,NA,acari,1
VIGLA,07-Nov-14,VIGLA-517-18,NA,gastropoda,1
WMONI,08-Nov-14,WMONI-523-30,NA,coleoptera,1
WMONI,08-Nov-14,WMONI-523-30,NA,hymenoptera,1
WMONI,08-Nov-14,WMONI-523-18,NA,diptera,1
WMONI,08-Nov-14,WMONI-523-18,NA,araneae,1
WMONI,08-Nov-14,WMONI-523-34,NA,hymenoptera,1
WMONI,08-Nov-14,WMONI-523-34,NA,lepidoptera,1
WMONI,08-Nov-14,WMONI-523-34,NA,gastropoda,1
WMONI,08-Nov-14,WMONI-523-27,NA,lepidoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-27,NA,gastropoda,1
WMONI,08-Nov-14,WMONI-523-09,NA,coleoptera,2
WMONI,08-Nov-14,WMONI-523-09,NA,coleoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-51,NA,coleoptera,1
WMONI,08-Nov-14,WMONI-523-51,NA,hemiptera,3
WMONI,08-Nov-14,WMONI-523-51,NA,hymenoptera,2
WMONI,08-Nov-14,WMONI-523-51,NA,orthoptera,1
WMONI,08-Nov-14,WMONI-523-51,NA,gastropoda,1
WMONI,08-Nov-14,WMONI-523-17,NA,coleoptera,2
WMONI,08-Nov-14,WMONI-523-17,NA,hymenoptera,2
WMONI,08-Nov-14,WMONI-523-17,NA,orthoptera,1
WMONI,08-Nov-14,WMONI-523-36,NA,coleoptera,3
WMONI,08-Nov-14,WMONI-523-36,NA,lepidoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-36,NA,araneae,1
WMONI,08-Nov-14,WMONI-523-41,NA,coleoptera,1
WMONI,08-Nov-14,WMONI-523-41,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-22,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-22,NA,coleoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-19,NA,orthoptera,1
WMONI,08-Nov-14,WMONI-523-10,NA,hymenoptera,1
WMONI,08-Nov-14,WMONI-523-10,NA,orthoptera,1
WMONI,08-Nov-14,WMONI-523-24,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-24,NA,araneae,1
WMONI,08-Nov-14,WMONI-523-35,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-35,NA,orthoptera,2
WMONI,08-Nov-14,WMONI-523-35,NA,lepidoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-54,NA,diptera,1
WMONI,08-Nov-14,WMONI-523-54,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-54,NA,lepidoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-54,NA,gastropoda,1
WMONI,08-Nov-14,WMONI-523-14,NA,coleoptera,2
WMONI,08-Nov-14,WMONI-523-14,NA,hymenoptera,1
WMONI,08-Nov-14,WMONI-523-14,NA,lepidoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-15,NA,coleoptera,2
WMONI,08-Nov-14,WMONI-523-15,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-03,NA,coleoptera,1
WMONI,08-Nov-14,WMONI-523-03,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-03,NA,araneae,1
WMONI,08-Nov-14,WMONI-523-23,NA,coleoptera,2
WMONI,08-Nov-14,WMONI-523-23,NA,hemiptera,1
WMONI,08-Nov-14,WMONI-523-23,NA,hymenoptera,1
WMONI,08-Nov-14,WMONI-523-23,NA,coleoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-23,NA,lepidoptera_larvae,1
WMONI,08-Nov-14,WMONI-523-37,NA,coleoptera,1
WMONI,08-Nov-14,WMONI-523-37,NA,hemiptera,2
WMONI,08-Nov-14,WMONI-523-37,NA,hymenoptera,2
WMONI,08-Nov-14,WMONI-523-37,NA,lepidoptera,1
WMONI,08-Nov-14,WMONI-523-37,NA,araneae,2
