island,site,date,lizard_id,blattodea,coleoptera,diptera,embioptera,hemiptera,hymenoptera,isoptera,lepidoptera,neuroptera,odonata,orthoptera,psocoptera,raphidioptera,thysanura,insect_egg,spider_egg,coleoptera_larvae,diptera_larvae,lepidoptera_larvae,neuroptera_larvae,odonata_larvae,acari,araneae,chilopoda,diplopoda,isopoda,pseudoscorpiones,gastropoda,sea_shell,berry,flower_parts,juniper_berry,leaf,seed,seed_pod,stick,lizard,sand,salt,comments
Naxos,WMONI,08-Nov-14,WMONI-523-41,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-35,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-14,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-15,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-23,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-37,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-31,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-25,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-49,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Naxos,WMONI,08-Nov-14,WMONI-523-32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
